date,Tmean
2021-12-03,13.323302469135804
2021-12-04,9.266835016835017
2021-12-05,7.37037037037037
2021-12-06,10.655864197530866
2021-12-07,1.5339966832504162
2021-12-08,3.15895061728395
2021-12-09,-0.40123456790123413
2021-12-10,5.319223985890654
2021-12-11,12.011737089201878
2021-12-12,3.52582159624413
2021-12-13,1.4691358024691366
2021-12-14,4.084876543209875
2021-12-15,4.045524691358023
2021-12-16,7.066358024691357
2021-12-17,13.331768388106417
2021-12-18,11.4375
2021-12-19,7.0694444444444455
2021-12-20,-1.1766975308641985
2021-12-21,-0.34490740740740755
2021-12-22,3.231481481481483
2021-12-23,1.5430359937402196
2021-12-24,5.655092592592593
2021-12-25,10.640432098765432
2021-12-26,14.530864197530867
2021-12-27,7.6603174603174615
2021-12-28,14.062597809076683
