date,Q_mm,P_mm,Tmean,P_mm_filled,Tmean_filled,PET_mm,Qsim_GR4J,Qsim_GR5J,Qsim_GR6J,Qsim_mm
2021-09-01,326.952293003036,21.59,21.375771604938272,21.59,21.375771604938272,3.754858386023742,38.44258299952505,38.38007579599507,38.5051626188723,38.23637626375326
2021-09-02,118.64035448853659,10.921999999999999,19.580246913580243,10.921999999999999,19.580246913580243,3.4784759614621263,30.907599215816674,28.6182151202245,28.193502111917898,30.850604505796866
2021-09-03,72.6350605082927,0,16.998412698412697,0,16.998412698412697,3.094325617763812,22.96718338265432,21.113774993114426,20.744788641332185,22.890145157729656
2021-09-04,43.16113825680345,0,18.439043209876544,0,18.439043209876544,3.2767547213773103,20.99262750997857,20.662256134492456,20.691977060109057,20.81971237429709
2021-09-05,3.1357847151219516,0,20.90740740740741,0,20.90740740740741,3.59927356665249,20.426199922231916,20.626423632592832,20.69131663765325,20.199600259586475
2021-09-06,5.951898687073172,5.842,21.048513302034426,5.842,21.048513302034426,3.5959872972289983,22.274508221701822,22.817201131879806,22.92277158762937,22.002113970857167
2021-09-07,3.270382063902439,0,17.751173708920188,0,17.751173708920188,3.1206193160279194,21.099502983211828,20.842770277311615,20.717078721184816,20.873171777079378
2021-09-08,1.6920797092682929,0,21.644757433489826,0,21.644757433489826,3.6308478050365633,20.459525684312652,20.641029949579448,20.691631464056755,20.21708739048301
2021-09-09,6.121423890000001,3.556,19.81481481481482,3.556,19.81481481481482,3.359109553998413,20.422490877308732,20.807322250324674,20.877805742473633,20.162331325438824
2021-09-10,6.201523828536586,6.858,17.16898148148148,6.858,17.16898148148148,2.980803681688052,23.826779725246325,24.459764918361174,24.564425098161898,23.53148830550662
2021-09-11,3.457861033170732,0,16.104068857589983,0,16.104068857589983,2.818292625408162,21.644860369222855,20.952784230926905,20.729130319950805,21.444944004331333
2021-09-12,1.9318982619512197,0,19.778560250391237,0,19.778560250391237,3.2861402347531827,20.624599493738188,20.64974663487847,20.691782020496564,20.398978990162203
